blind_id,receipt,source_file,drive_file_id,fetched_title,title_match,file_size_bytes,downloaded_byte_sha256,lf_normalized_sha256,canonical_json_sha256,locked_raw_sha256,locked_sanitized_sha256,locked_raw_hash_matches_downloaded_bytes,locked_raw_hash_matches_canonical_json
H035,natural,engine_card_042.json,1cPrisMjhBgEHI1Ta_QLfrTcsuOnyxkHo,engine_card_042.json,True,5173,1fd3ccf6a01f3a0cf2938e1bcb903f96a69746109aeef244f07780c1a9b5db35,723cec594ef3732b2227f200540e6c14ec1fbb59e10201b7314a0dd2a2081baf,51f428b00165126138834c7477d2b95bb6f8b1ec1183cedafa4bf4e0230f52f4,ad4e363cff427c960959235c5c1a0adb498dbb382ec660a0a242c947148d6c7d,9c8b565427c90870c9a02b6eedf4b3bd9c1e5abe5f415e11ec7cf771cedfd690,False,False
H036,natural,engine_card_051.json,1QRcBM7HBB-jqBIDoKeYMBDs8Fkhj4H2r,engine_card_051.json,True,5176,849ad7d06618e6e688ed55b8e2b8bcb9b67a6ea90e803d4ecfe898aa7df1ca1f,9dcab392b83a5ab48b23d6415105029d8feb28eed6e5efb31228bd1d367f1ac0,e425aa18630f38e31240690695b8fe25dc97cf99d762b7e787199da978865aca,540959d3d9df9837fd0841d23365cacd0f23aac0c979cfcdf26b70410f34e5dc,bb541a6004542091c182b8e3a89a97607d910bf38c415498f8bb36a3118e8ccc,False,False
H037,normal,confirmed_event_002.json,1h5pM7H6cFh6Mhl3Ulku5UCvy0i7cYmhi,confirmed_event_002.json,True,599,14b16ab44450f340a3a2492e3a4847492280bf5c271b399481732affd260fe53,118d007ff2ba1db4b5454434c4ad1f99ae555a0b3c1348a5af40a441b2ed155d,cf7096ceef7c527b0bab227fa285349059b1651c0ccadba0655450073c76b361,affef570cc59c627ac7e5a29e1a9baedf53bc2a46a2123657c37f1b13bd6da41,4962779120dd75bfcb51d545489f20b94513b3da1642b4fe3b339d0289e292ce,False,False
H038,natural,engine_card_018.json,1u2t1baM4XTnBZlvWpRxjD3MB-4eVRstp,engine_card_018.json,True,5192,dc3861f278c6768fab5e10f0b4160bce687c71c998535d76e703d55b1392f6c4,efc59a7bbbd750675544e46a180b6ba4b77537a1950c47587d0f52745929c40d,c4a4b9af77ba992ab7aaaeed32caa4eb08176a8e66d2ce8733de13d1cbc61151,3102bf2b809d2da328a8ff796e684e093be8b1eb9dc335876a69b3b669948fbb,91204defaed8c1416768e044db393eb8d1057694cfa504986934e6744b2d84de,False,False
H039,normal,engine_card_001.json,17dhAafs9B8S95opSweSnySUKge1RZnK8,engine_card_001.json,True,5201,6567fa13f6d819095a4a7ae2de1925a9a24b5e6099b0ee7263b5b92de6d572a6,90406098c16ffe17c2e4b03fcf82b3c4d01645e0457dec4ad63d9bdeb30609d7,5b69a1878f97747e582007d0f6abca4309261a63d9ac931bcbe15e773fc4f804,d7c0c8bf3301be39fc393f741560405f65d8f76ad6b8b74fe3d536b8dd077ebf,f41a58cf4943529a6475541fb08f7c44c5424dfa8fddd530a8449144db969bda,False,False
H040,normal,confirmed_event_008.json,1OMId50-iNu2ESqBj8yKJ8yR-qrB1YR2h,confirmed_event_008.json,True,557,32379df9eff38b197cadda015e582d5c0278ee06eafc00e404649e0a9444c0cd,776abf0119603873bad20e46c8f78322500846988a45fafe81073ca65b18a7e1,cd144637adb248257efc547c4e5039c91a179f17761133412859968b2871f1af,740b0d51a3eea98398177d6839043e87b31b8640f1db762f018faed65819bdf4,43260798d461407a9c96fdf2f2d4bb1a55712a3aebe4fa9ee46dc6956cba9bab,False,False
H041,natural,confirmed_event_009.json,1pIInS4AJDYOOL_4wtCBYlcwGYffTK4sQ,confirmed_event_009.json,True,719,2cfebdae5c673fe42baec2025c1392762868f1dadea11a466228d5797ad5d186,f7bfd0fad41c1096cbdc6818e6fdb231eae7715af0fbde3cb046267476a91212,382539585cc25f80df051dbc0a85ff44b94c8f512da9f57cb5d38c8b6f2d274b,d7eb04887edbd7926f99e121ddf5bd7360246153f4590e451f85972d407a5b5f,f527c7c8680edbeae12a2db9281e200b25f05cd6980d6764c59b35b68cedbe04,False,False
H042,normal,engine_card_056.json,1BTfu5r36l59SJvyiiPh97mnN2In4DNcR,engine_card_056.json,True,5199,14e0958aece1a1c29436668ef869cacd1615e07f468181f0baf833bb70856e80,91c9d15fed4a8783f38cdb45f1ca07f42f8bab21ca62cd50360a9e0a6d6f2157,00f9350ae1e5c37bd5171d884dbcc33c3bff2182026355ff0a1534f84a439381,7d480ca2144bf2fe5edc93a7a4e2e05410f17d79d13650e7da00c1fb0bb344e0,ac95d0638bcae3a7913b523fd0af5853faa72517b6df0e2fee25c3d1cb60a4fd,False,False
H043,natural,engine_card_022.json,1WZVWTuuqXUOlWObwDuA1MnRyO48Hwx1l,engine_card_022.json,True,5202,9109ea11ac8682b8a79f6a8e6bc4cb9083d876fa64fd66cf171a0d9459c42e7e,31ed69f0f7a4035ede3a9d2783f4b1d841853017b80231fe1d889d2ed8d147fb,50f3c4e3390ecd703baa4ca8b38b7d7db3f8f898cd1154033d46e96c8772f877,c2b95c76a09f96591b4c659ba42cd1d94ff81ffdef5443d6950ea11a94426ff3,e008b0f4e93d305fb07aee4b149abeb54809e6fb500aaee3f1c4ce69636e8b23,False,False
H044,normal,engine_card_052.json,1fvs0dls_dtyDz9PKqbKaXhAXOsstPOZy,engine_card_052.json,True,5197,cbe3ed8f15150616d460ff25f709f31de95598b6159d677b92e868c010cabbd3,3855730ca5a0c0d05538675ace8b936d027c19b8473f3746f4c65bda561fc70b,e9f57d75aca76fa42b971ac2851d84c67a0d90feb314543cec51eb107fa33d52,182efac674f325f05c5d6bd15e9ebaf79ccd5bfe680d3e756efefad73be997d3,55e47efd8b034519bbdd4810ae3dfab53e87466929f7fff2d60c8dead1e15311,False,False
